Time,ID,Spreader,Audience,SP,Originalsp,AudienceKnownRumours,TotalRumours
05/01/2021 13:18:08,1,Paul Markham,Terri Ross,25,6,1,2
05/01/2021 13:18:08,2,Gene Rude,Liza Smith,6,97,1,4
05/01/2021 13:18:09,3,Frank Perry,Teri Jiminez,8,56,1,6
05/01/2021 13:18:10,4,Paul Markham,Terri Ross,1,31,2,8
05/01/2021 13:18:10,5,Gene Rude,Luis Jerry,4,103,1,10
05/01/2021 13:18:11,6,Paul Markham,Terri Ross,26,32,3,12
05/01/2021 13:18:11,7,Gene Rude,Luis Jerry,6,107,2,14
05/01/2021 13:18:13,8,Paul Markham,Terri Ross,4,58,4,16
05/01/2021 13:18:13,9,Gene Rude,Liza Smith,19,113,2,18
05/01/2021 13:18:13,10,Luis Jerry,Liza Smith,4,2,3,20
05/01/2021 13:18:15,11,Paul Markham,Terri Ross,2,62,5,22
05/01/2021 13:18:15,12,Gene Rude,Liza Smith,19,132,4,24
05/01/2021 13:18:15,13,Luis Jerry,Liza Smith,18,6,5,26
05/01/2021 13:18:17,14,Paul Markham,Terri Ross,4,64,6,28
05/01/2021 13:18:17,15,Gene Rude,Luis Jerry,8,151,5,30
05/01/2021 13:18:19,16,Paul Markham,Terri Ross,10,68,7,32
05/01/2021 13:18:19,17,Gene Rude,Liza Smith,6,159,6,34
05/01/2021 13:18:21,18,Paul Markham,Terri Ross,1,78,8,36
05/01/2021 13:18:21,19,Gene Rude,Liza Smith,10,165,7,38
05/01/2021 13:18:22,20,Luis Jerry,Gene Rude,3,24,9,40
05/01/2021 13:18:22,21,Paul Markham,Terri Ross,11,79,9,42
